Region,Period,Month,CPI
U.S. city average,2014,January,233.916
Northeast,2023,December,316.143
Northeast,2023,November,316.252
Northeast,2023,October,316.3
Northeast,2023,September,316.373
Northeast,2023,August,315.441
Northeast,2023,July,313.952
Northeast,2023,June,313.329
Northeast,2023,May,312.241
Northeast,2023,April,311.848
Northeast,2023,March,311.243
Northeast,2023,February,311.986
Northeast,2023,January,310.323
Northeast,2022,December,308.15
Northeast,2022,November,308.394
Northeast,2022,October,308.001
Northeast,2022,September,307.152
Northeast,2022,August,306.855
Northeast,2022,July,305.916
Northeast,2022,June,306.453
Northeast,2022,May,302.939
Northeast,2022,April,300.325
Northeast,2022,March,298.403
Northeast,2022,February,294.605
Northeast,2022,January,292.644
Northeast,2021,December,290.405
Northeast,2021,November,289.835
Northeast,2021,October,288.236
Northeast,2021,September,286.423
Northeast,2021,August,285.63
Northeast,2021,July,285.22
Northeast,2021,June,284.741
Northeast,2021,May,281.858
Northeast,2021,April,280.234
Northeast,2021,March,278.197
Northeast,2021,February,276.473
Northeast,2021,January,275.427
Northeast,2020,December,274.225
Northeast,2020,November,273.543
Northeast,2020,October,273.374
Northeast,2020,September,273.925
Northeast,2020,August,273.597
Northeast,2020,July,273.347
Northeast,2020,June,272.283
Northeast,2020,May,271.345
Northeast,2020,April,271.325
Northeast,2020,March,272.531
Northeast,2020,February,273.08
Northeast,2020,January,272.316
Northeast,2019,December,270.429
Northeast,2019,November,270.643
Northeast,2019,October,270.348
Northeast,2019,September,270.563
Northeast,2019,August,270.548
Northeast,2019,July,270.381
Northeast,2019,June,270.133
Northeast,2019,May,269.744
Northeast,2019,April,269.07
Northeast,2019,March,268.025
Northeast,2019,February,266.706
Northeast,2019,January,266.109
Northeast,2018,December,265.286
Northeast,2018,November,265.487
Northeast,2018,October,266.464
Northeast,2018,September,266.709
Northeast,2018,August,266.425
Northeast,2018,July,265.83
Northeast,2018,June,265.95
Northeast,2018,May,265.84
Northeast,2018,April,264.669
Northeast,2018,March,263.556
Northeast,2018,February,263.26
Northeast,2018,January,262.188
Northeast,2017,December,260.791
Northeast,2017,November,260.63
Northeast,2017,October,260.58
Northeast,2017,September,260.875
Northeast,2017,August,259.508
Northeast,2017,July,258.833
Northeast,2017,June,259.335
Northeast,2017,May,259.386
Northeast,2017,April,259.165
Northeast,2017,March,258.51
Northeast,2017,February,258.768
Northeast,2017,January,258.073
Northeast,2016,December,256.427
Northeast,2016,November,256.541
Northeast,2016,October,256.605
Northeast,2016,September,256.085
Northeast,2016,August,255.545
Northeast,2016,July,255.386
Northeast,2016,June,255.471
Northeast,2016,May,255.023
Northeast,2016,April,254.27
Northeast,2016,March,252.854
Northeast,2016,February,252.25
Northeast,2016,January,251.739
Northeast,2015,December,251.67
Northeast,2015,November,252.573
Northeast,2015,October,252.504
Northeast,2015,September,252.922
Northeast,2015,August,252.903
Northeast,2015,July,253.405
Northeast,2015,June,253.626
Northeast,2015,May,252.77
Northeast,2015,April,251.76
Northeast,2015,March,251.451
Northeast,2015,February,250.619
Northeast,2015,January,250.016
Northeast,2014,December,250.519
Northeast,2014,November,251.781
Northeast,2014,October,252.73
Northeast,2014,September,253.154
Northeast,2014,August,253.185
Northeast,2014,July,253.833
Northeast,2014,June,253.555
Northeast,2014,May,253.598
Northeast,2014,April,252.506
Northeast,2014,March,252.413
Northeast,2014,February,251.233
Northeast,2014,January,251.045
Midwest,2023,December,283.908
Midwest,2023,November,284.539
Midwest,2023,October,284.981
Midwest,2023,September,285.276
Midwest,2023,August,285.122
Midwest,2023,July,284.64
Midwest,2023,June,283.741
Midwest,2023,May,282.656
Midwest,2023,April,281.927
Midwest,2023,March,280.33
Midwest,2023,February,278.672
Midwest,2023,January,277.332
Midwest,2022,December,275.182
Midwest,2022,November,276.436
Midwest,2022,October,276.908
Midwest,2022,September,276.549
Midwest,2022,August,275.875
Midwest,2022,July,276.525
Midwest,2022,June,277.072
Midwest,2022,May,272.673
Midwest,2022,April,268.639
Midwest,2022,March,267.312
Midwest,2022,February,263.988
Midwest,2022,January,261.657
Midwest,2021,December,259.609
Midwest,2021,November,258.911
Midwest,2021,October,257.793
Midwest,2021,September,255.709
Midwest,2021,August,255.142
Midwest,2021,July,254.671
Midwest,2021,June,253.042
Midwest,2021,May,250.582
Midwest,2021,April,248.169
Midwest,2021,March,246.246
Midwest,2021,February,244.477
Midwest,2021,January,242.552
Midwest,2020,December,241.453
Midwest,2020,November,241.316
Midwest,2020,October,241.74
Midwest,2020,September,241.878
Midwest,2020,August,241.362
Midwest,2020,July,240.43
Midwest,2020,June,239.259
Midwest,2020,May,237.291
Midwest,2020,April,236.474
Midwest,2020,March,239.163
Midwest,2020,February,240.421
Midwest,2020,January,239.69
Midwest,2019,December,238.734
Midwest,2019,November,238.85
Midwest,2019,October,239.243
Midwest,2019,September,238.847
Midwest,2019,August,238.786
Midwest,2019,July,238.76
Midwest,2019,June,238.288
Midwest,2019,May,238.219
Midwest,2019,April,237.51
Midwest,2019,March,236.793
Midwest,2019,February,235.444
Midwest,2019,January,233.837
Midwest,2018,December,233.458
Midwest,2018,November,234.292
Midwest,2018,October,235.68
Midwest,2018,September,235.524
Midwest,2018,August,235.276
Midwest,2018,July,235.346
Midwest,2018,June,235.455
Midwest,2018,May,235.065
Midwest,2018,April,233.913
Midwest,2018,March,232.931
Midwest,2018,February,232.512
Midwest,2018,January,232.028
Midwest,2017,December,230.548
Midwest,2017,November,231.084
Midwest,2017,October,230.66
Midwest,2017,September,231.03
Midwest,2017,August,230.443
Midwest,2017,July,229.82
Midwest,2017,June,229.78
Midwest,2017,May,229.705
Midwest,2017,April,229.682
Midwest,2017,March,228.824
Midwest,2017,February,228.633
Midwest,2017,January,228.279
Midwest,2016,December,226.794
Midwest,2016,November,226.673
Midwest,2016,October,227.358
Midwest,2016,September,227.636
Midwest,2016,August,227.097
Midwest,2016,July,226.786
Midwest,2016,June,227.835
Midwest,2016,May,226.476
Midwest,2016,April,225.609
Midwest,2016,March,224.621
Midwest,2016,February,223.196
Midwest,2016,January,223.301
Midwest,2015,December,222.722
Midwest,2015,November,224.009
Midwest,2015,October,225.05
Midwest,2015,September,225.184
Midwest,2015,August,225.83
Midwest,2015,July,225.853
Midwest,2015,June,225.946
Midwest,2015,May,224.732
Midwest,2015,April,223.797
Midwest,2015,March,223.55
Midwest,2015,February,222.301
Midwest,2015,January,221.545
Midwest,2014,December,222.821
Midwest,2014,November,224.396
Midwest,2014,October,225.793
Midwest,2014,September,226.913
Midwest,2014,August,226.587
Midwest,2014,July,226.997
Midwest,2014,June,227.588
Midwest,2014,May,226.565
Midwest,2014,April,226.214
Midwest,2014,March,225.485
Midwest,2014,February,223.493
Midwest,2014,January,222.247
South,2023,December,298.754
South,2023,November,298.93
South,2023,October,299.394
South,2023,September,299.657
South,2023,August,298.975
South,2023,July,297.279
South,2023,June,296.789
South,2023,May,295.889
South,2023,April,295.315
South,2023,March,293.358
South,2023,February,292.285
South,2023,January,290.438
South,2022,December,288.205
South,2022,November,288.991
South,2022,October,288.836
South,2022,September,287.656
South,2022,August,287.168
South,2022,July,287.608
South,2022,June,287.427
South,2022,May,283.307
South,2022,April,279.879
South,2022,March,278.598
South,2022,February,274.688
South,2022,January,271.634
South,2021,December,269.263
South,2021,November,268.36
South,2021,October,267.16
South,2021,September,264.593
South,2021,August,263.728
South,2021,July,263.013
South,2021,June,261.668
South,2021,May,259.343
South,2021,April,257.207
South,2021,March,255.319
South,2021,February,253.386
South,2021,January,252.067
South,2020,December,250.693
South,2020,November,250.255
South,2020,October,250.542
South,2020,September,250.193
South,2020,August,249.639
South,2020,July,248.619
South,2020,June,247.223
South,2020,May,245.696
South,2020,April,246.254
South,2020,March,248.136
South,2020,February,248.412
South,2020,January,248.005
South,2019,December,247.289
South,2019,November,247.385
South,2019,October,247.423
South,2019,September,246.891
South,2019,August,246.953
South,2019,July,247.25
South,2019,June,246.515
South,2019,May,246.667
South,2019,April,246.847
South,2019,March,245.554
South,2019,February,243.856
South,2019,January,242.547
South,2018,December,242.15
South,2018,November,243.484
South,2018,October,244.163
South,2018,September,243.64
South,2018,August,243.605
South,2018,July,243.776
South,2018,June,243.77
South,2018,May,243.279
South,2018,April,242.486
South,2018,March,241.595
South,2018,February,241.123
South,2018,January,239.772
South,2017,December,238.512
South,2017,November,238.861
South,2017,October,239.067
South,2017,September,239.649
South,2017,August,237.892
South,2017,July,236.942
South,2017,June,237.346
South,2017,May,236.774
South,2017,April,236.728
South,2017,March,236.154
South,2017,February,236.052
South,2017,January,235.492
South,2016,December,234.204
South,2016,November,234.029
South,2016,October,234.337
South,2016,September,234.069
South,2016,August,233.561
South,2016,July,233.292
South,2016,June,233.838
South,2016,May,232.906
South,2016,April,231.975
South,2016,March,230.977
South,2016,February,229.646
South,2016,January,229.469
South,2015,December,229.581
South,2015,November,230.422
South,2015,October,230.86
South,2015,September,230.913
South,2015,August,231.26
South,2015,July,231.719
South,2015,June,232.026
South,2015,May,230.886
South,2015,April,229.957
South,2015,March,229.337
South,2015,February,227.944
South,2015,January,226.855
South,2014,December,228.451
South,2014,November,229.845
South,2014,October,231.131
South,2014,September,231.762
South,2014,August,231.611
South,2014,July,232.013
South,2014,June,232.269
South,2014,May,231.762
South,2014,April,231.346
South,2014,March,230.095
South,2014,February,228.664
South,2014,January,227.673
West,2023,December,325.932
West,2023,November,326.299
West,2023,October,327.708
West,2023,September,327.491
West,2023,August,326.234
West,2023,July,324.865
West,2023,June,324.448
West,2023,May,323.525
West,2023,April,322.187
West,2023,March,320.715
West,2023,February,319.13
West,2023,January,317.477
West,2022,December,314.599
West,2022,November,315.919
West,2022,October,317.299
West,2022,September,315.094
West,2022,August,314.013
West,2022,July,313.951
West,2022,June,313.496
West,2022,May,309.645
West,2022,April,307.145
West,2022,March,305.082
West,2022,February,301.158
West,2022,January,298.705
West,2021,December,296.102
West,2021,November,294.986
West,2021,October,293.397
West,2021,September,291.053
West,2021,August,290.393
West,2021,July,289.863
West,2021,June,288.263
West,2021,May,285.793
West,2021,April,283.507
West,2021,March,280.625
West,2021,February,278.702
West,2021,January,277.238
West,2020,December,276.593
West,2020,November,276.875
West,2020,October,276.876
West,2020,September,276.422
West,2020,August,276.443
West,2020,July,275.597
West,2020,June,274.155
West,2020,May,273.062
West,2020,April,272.913
West,2020,March,273.995
West,2020,February,274.412
West,2020,January,273.34
West,2019,December,272.584
West,2019,November,273.128
West,2019,October,273.524
West,2019,September,272.102
West,2019,August,271.264
West,2019,July,271.029
West,2019,June,270.957
West,2019,May,270.88
West,2019,April,269.522
West,2019,March,267.37
West,2019,February,266.215
West,2019,January,265.624
West,2018,December,265.209
West,2018,November,265.658
West,2018,October,266.195
West,2018,September,265.105
West,2018,August,264.395
West,2018,July,263.971
West,2018,June,263.732
West,2018,May,263.24
West,2018,April,262.037
West,2018,March,260.994
West,2018,February,259.986
West,2018,January,258.638
West,2017,December,257.347
West,2017,November,257.126
West,2017,October,257.223
West,2017,September,256.504
West,2017,August,255.282
West,2017,July,254.708
West,2017,June,254.469
West,2017,May,254.38
West,2017,April,253.806
West,2017,March,252.949
West,2017,February,252.252
West,2017,January,250.814
West,2016,December,249.516
West,2016,November,249.448
West,2016,October,249.897
West,2016,September,249.234
West,2016,August,248.498
West,2016,July,248.375
West,2016,June,248.228
West,2016,May,247.855
West,2016,April,246.589
West,2016,March,245.404
West,2016,February,244.821
West,2016,January,244.6
West,2015,December,243.434
West,2015,November,243.749
West,2015,October,244.341
West,2015,September,244.257
West,2015,August,244.737
West,2015,July,245.04
West,2015,June,244.332
West,2015,May,244.227
West,2015,April,242.302
West,2015,March,241.69
West,2015,February,239.748
West,2015,January,238.318
West,2014,December,239.095
West,2014,November,240.22
West,2014,October,241.65
West,2014,September,241.92
West,2014,August,241.66
West,2014,July,241.85
West,2014,June,241.616
West,2014,May,241.35
West,2014,April,239.808
West,2014,March,239.092
West,2014,February,237.614
West,2014,January,236.707
U.S. city average,2013,December,233.049
U.S. city average,2013,November,233.069
U.S. city average,2013,October,233.546
U.S. city average,2013,September,234.149
U.S. city average,2013,August,233.877
U.S. city average,2013,July,233.596
U.S. city average,2013,June,233.504
U.S. city average,2013,May,232.945
U.S. city average,2013,April,232.531
U.S. city average,2013,March,232.773
U.S. city average,2013,February,232.166
U.S. city average,2013,January,230.28
U.S. city average,2012,December,229.601
U.S. city average,2012,November,230.221
U.S. city average,2012,October,231.317
U.S. city average,2012,September,231.407
U.S. city average,2012,August,230.379
U.S. city average,2012,July,229.104
U.S. city average,2012,June,229.478
U.S. city average,2012,May,229.815
U.S. city average,2012,April,230.085
U.S. city average,2012,March,229.392
U.S. city average,2012,February,227.663
U.S. city average,2012,January,226.665
U.S. city average,2011,December,225.672
U.S. city average,2011,November,226.23
U.S. city average,2011,October,226.421
U.S. city average,2011,September,226.889
U.S. city average,2011,August,226.545
U.S. city average,2011,July,225.922
U.S. city average,2011,June,225.722
U.S. city average,2011,May,225.964
U.S. city average,2011,April,224.906
U.S. city average,2011,March,223.467
U.S. city average,2011,February,221.309
U.S. city average,2011,January,220.223
U.S. city average,2010,December,219.179
U.S. city average,2010,November,218.803
U.S. city average,2010,October,218.711
U.S. city average,2010,September,218.439
U.S. city average,2010,August,218.312
U.S. city average,2010,July,218.011
U.S. city average,2010,June,217.965
U.S. city average,2010,May,218.178
U.S. city average,2010,April,218.009
U.S. city average,2010,March,217.631
U.S. city average,2010,February,216.741
U.S. city average,2010,January,216.687
U.S. city average,2009,December,215.949
U.S. city average,2009,November,216.33
U.S. city average,2009,October,216.177
U.S. city average,2009,September,215.969
U.S. city average,2009,August,215.834
U.S. city average,2009,July,215.351
U.S. city average,2009,June,215.693
U.S. city average,2009,May,213.856
U.S. city average,2009,April,213.24
U.S. city average,2009,March,212.709
U.S. city average,2009,February,212.193
U.S. city average,2009,January,211.143
U.S. city average,2008,December,210.228
U.S. city average,2008,November,212.425
U.S. city average,2008,October,216.573
U.S. city average,2008,September,218.783
U.S. city average,2008,August,219.086
U.S. city average,2008,July,219.964
U.S. city average,2008,June,218.815
U.S. city average,2008,May,216.632
U.S. city average,2008,April,214.823
U.S. city average,2008,March,213.528
U.S. city average,2008,February,211.693
U.S. city average,2008,January,211.08
U.S. city average,2007,December,210.036
U.S. city average,2007,November,210.177
U.S. city average,2007,October,208.936
U.S. city average,2007,September,208.49
U.S. city average,2007,August,207.917
U.S. city average,2007,July,208.299
U.S. city average,2007,June,208.352
U.S. city average,2007,May,207.949
U.S. city average,2007,April,206.686
U.S. city average,2007,March,205.352
U.S. city average,2007,February,203.499
U.S. city average,2007,January,202.416
U.S. city average,2006,December,201.8
U.S. city average,2006,November,201.5
U.S. city average,2006,October,201.8
U.S. city average,2006,September,202.9
U.S. city average,2006,August,203.9
U.S. city average,2006,July,203.5
U.S. city average,2006,June,202.9
U.S. city average,2006,May,202.5
U.S. city average,2006,April,201.5
U.S. city average,2006,March,199.8
U.S. city average,2006,February,198.7
U.S. city average,2006,January,198.3
U.S. city average,2005,December,196.8
U.S. city average,2005,November,197.6
U.S. city average,2005,October,199.2
U.S. city average,2005,September,198.8
U.S. city average,2005,August,196.4
U.S. city average,2005,July,195.4
U.S. city average,2005,June,194.5
U.S. city average,2005,May,194.4
U.S. city average,2005,April,194.6
U.S. city average,2005,March,193.3
U.S. city average,2005,February,191.8
U.S. city average,2005,January,190.7
U.S. city average,2004,December,190.3
U.S. city average,2004,November,191
U.S. city average,2004,October,190.9
U.S. city average,2004,September,189.9
U.S. city average,2004,August,189.5
U.S. city average,2004,July,189.4
U.S. city average,2004,June,189.7
U.S. city average,2004,May,189.1
U.S. city average,2004,April,188
U.S. city average,2004,March,187.4
U.S. city average,2004,February,186.2
U.S. city average,2004,January,185.2
Northeast,2013,December,249.567
Northeast,2013,November,249.503
Northeast,2013,October,249.32
Northeast,2013,September,250.231
Northeast,2013,August,249.858
Northeast,2013,July,249.411
Northeast,2013,June,248.851
Northeast,2013,May,248.584
Northeast,2013,April,248.464
Northeast,2013,March,248.719
Northeast,2013,February,248.665
Northeast,2013,January,247.277
Northeast,2012,December,246.456
Northeast,2012,November,247.097
Northeast,2012,October,247.564
Northeast,2012,September,247.409
Northeast,2012,August,246.252
Northeast,2012,July,244.984
Northeast,2012,June,245.201
Northeast,2012,May,245.709
Northeast,2012,April,245.85
Northeast,2012,March,245.125
Northeast,2012,February,243.85
Northeast,2012,January,242.879
Northeast,2011,December,241.987
Northeast,2011,November,242.652
Northeast,2011,October,243.014
Northeast,2011,September,243.323
Northeast,2011,August,243.033
Northeast,2011,July,242.282
Northeast,2011,June,241.69
Northeast,2011,May,241.566
Northeast,2011,April,240.267
Northeast,2011,March,239.074
Northeast,2011,February,237.11
Northeast,2011,January,235.969
Northeast,2010,December,235.141
Northeast,2010,November,235.094
Northeast,2010,October,234.671
Northeast,2010,September,234.027
Northeast,2010,August,234.15
Northeast,2010,July,233.885
Northeast,2010,June,233.834
Northeast,2010,May,234.13
Northeast,2010,April,233.615
Northeast,2010,March,233.188
Northeast,2010,February,232.382
Northeast,2010,January,232.294
Northeast,2009,December,231.462
Northeast,2009,November,231.708
Northeast,2009,October,231.304
Northeast,2009,September,231.2
Northeast,2009,August,230.883
Northeast,2009,July,230.154
Northeast,2009,June,229.93
Northeast,2009,May,228.136
Northeast,2009,April,227.84
Northeast,2009,March,227.309
Northeast,2009,February,226.754
Northeast,2009,January,225.436
Northeast,2008,December,225.091
Northeast,2008,November,227.236
Northeast,2008,October,230.837
Northeast,2008,September,232.841
Northeast,2008,August,233.788
Northeast,2008,July,234.545
Northeast,2008,June,232.649
Northeast,2008,May,230.089
Northeast,2008,April,228.133
Northeast,2008,March,226.926
Northeast,2008,February,225.213
Northeast,2008,January,224.325
Northeast,2007,December,223.425
Northeast,2007,November,223.356
Northeast,2007,October,221.951
Northeast,2007,September,221.436
Northeast,2007,August,221.559
Northeast,2007,July,221.945
Northeast,2007,June,221.579
Northeast,2007,May,220.591
Northeast,2007,April,219.501
Northeast,2007,March,218.334
Northeast,2007,February,216.651
Northeast,2007,January,215.813
Northeast,2006,December,215.2
Northeast,2006,November,214.8
Northeast,2006,October,215.2
Northeast,2006,September,216.3
Northeast,2006,August,218.1
Northeast,2006,July,217.5
Northeast,2006,June,216.7
Northeast,2006,May,215.7
Northeast,2006,April,214.7
Northeast,2006,March,212.8
Northeast,2006,February,211.6
Northeast,2006,January,211
Northeast,2005,December,209
Northeast,2005,November,210
Northeast,2005,October,211.5
Northeast,2005,September,210.8
Northeast,2005,August,208.7
Northeast,2005,July,207.9
Northeast,2005,June,206.2
Northeast,2005,May,206.2
Northeast,2005,April,206.9
Northeast,2005,March,206
Northeast,2005,February,203.6
Northeast,2005,January,202.6
Northeast,2004,December,201.9
Northeast,2004,November,202.6
Northeast,2004,October,202.5
Northeast,2004,September,201.2
Northeast,2004,August,201
Northeast,2004,July,201
Northeast,2004,June,201.1
Northeast,2004,May,199.9
Northeast,2004,April,199.4
Northeast,2004,March,198.6
Northeast,2004,February,196.8
Northeast,2004,January,195.9
Midwest,2013,December,221.194
Midwest,2013,November,221.718
Midwest,2013,October,222.171
Midwest,2013,September,223.252
Midwest,2013,August,223.046
Midwest,2013,July,222.902
Midwest,2013,June,223.775
Midwest,2013,May,223.049
Midwest,2013,April,221.931
Midwest,2013,March,222.121
Midwest,2013,February,221.599
Midwest,2013,January,219.282
Midwest,2012,December,219.033
Midwest,2012,November,219.483
Midwest,2012,October,220.375
Midwest,2012,September,221.125
Midwest,2012,August,220.462
Midwest,2012,July,218.956
Midwest,2012,June,219.017
Midwest,2012,May,219.145
Midwest,2012,April,219.405
Midwest,2012,March,218.975
Midwest,2012,February,216.855
Midwest,2012,January,216.368
Midwest,2011,December,215.173
Midwest,2011,November,215.614
Midwest,2011,October,215.653
Midwest,2011,September,216.968
Midwest,2011,August,216.586
Midwest,2011,July,216.099
Midwest,2011,June,215.954
Midwest,2011,May,215.899
Midwest,2011,April,214.535
Midwest,2011,March,212.954
Midwest,2011,February,211.09
Midwest,2011,January,210.388
Midwest,2010,December,209.27
Midwest,2010,November,208.816
Midwest,2010,October,208.689
Midwest,2010,September,208.788
Midwest,2010,August,208.639
Midwest,2010,July,208.211
Midwest,2010,June,207.886
Midwest,2010,May,207.987
Midwest,2010,April,207.777
Midwest,2010,March,207.359
Midwest,2010,February,206.563
Midwest,2010,January,206.564
Midwest,2009,December,205.613
Midwest,2009,November,206.247
Midwest,2009,October,205.706
Midwest,2009,September,205.601
Midwest,2009,August,205.632
Midwest,2009,July,204.814
Midwest,2009,June,205.35
Midwest,2009,May,203.195
Midwest,2009,April,202.327
Midwest,2009,March,202.021
Midwest,2009,February,201.453
Midwest,2009,January,200.815
Midwest,2008,December,199.582
Midwest,2008,November,201.737
Midwest,2008,October,206.019
Midwest,2008,September,209.252
Midwest,2008,August,209.351
Midwest,2008,July,210.071
Midwest,2008,June,208.968
Midwest,2008,May,207.168
Midwest,2008,April,205.393
Midwest,2008,March,203.723
Midwest,2008,February,201.896
Midwest,2008,January,201.427
Midwest,2007,December,200.227
Midwest,2007,November,200.762
Midwest,2007,October,199.455
Midwest,2007,September,199.714
Midwest,2007,August,198.551
Midwest,2007,July,198.989
Midwest,2007,June,199.263
Midwest,2007,May,199.194
Midwest,2007,April,197.405
Midwest,2007,March,196.389
Midwest,2007,February,194.458
Midwest,2007,January,193.068
Midwest,2006,December,192.9
Midwest,2006,November,192.8
Midwest,2006,October,192.3
Midwest,2006,September,193.7
Midwest,2006,August,195.1
Midwest,2006,July,194.6
Midwest,2006,June,194.1
Midwest,2006,May,193.6
Midwest,2006,April,193
Midwest,2006,March,192
Midwest,2006,February,190.7
Midwest,2006,January,190.8
Midwest,2005,December,189.7
Midwest,2005,November,190.3
Midwest,2005,October,192.1
Midwest,2005,September,192.5
Midwest,2005,August,189.7
Midwest,2005,July,188.4
Midwest,2005,June,187.8
Midwest,2005,May,187.4
Midwest,2005,April,187.7
Midwest,2005,March,186.3
Midwest,2005,February,185.2
Midwest,2005,January,184.1
Midwest,2004,December,183.8
Midwest,2004,November,184.8
Midwest,2004,October,184.5
Midwest,2004,September,183.6
Midwest,2004,August,183.3
Midwest,2004,July,183.2
Midwest,2004,June,183.3
Midwest,2004,May,182.9
Midwest,2004,April,181.5
Midwest,2004,March,181
Midwest,2004,February,180.2
Midwest,2004,January,179.4
South,2013,December,227.082
South,2013,November,226.811
South,2013,October,227.42
South,2013,September,227.876
South,2013,August,227.837
South,2013,July,227.548
South,2013,June,227.148
South,2013,May,226.289
South,2013,April,226.202
South,2013,March,226.628
South,2013,February,225.874
South,2013,January,223.933
South,2012,December,223.109
South,2012,November,223.404
South,2012,October,224.504
South,2012,September,225.052
South,2012,August,223.919
South,2012,July,222.667
South,2012,June,223.004
South,2012,May,223.356
South,2012,April,224.275
South,2012,March,223.314
South,2012,February,221.802
South,2012,January,220.497
South,2011,December,219.469
South,2011,November,219.961
South,2011,October,219.969
South,2011,September,220.371
South,2011,August,220.471
South,2011,July,219.682
South,2011,June,219.318
South,2011,May,219.82
South,2011,April,218.82
South,2011,March,217.214
South,2011,February,214.735
South,2011,January,213.589
South,2010,December,212.488
South,2010,November,211.996
South,2010,October,212.026
South,2010,September,211.775
South,2010,August,211.308
South,2010,July,210.988
South,2010,June,211.232
South,2010,May,211.423
South,2010,April,211.528
South,2010,March,211.216
South,2010,February,210.02
South,2010,January,210.056
South,2009,December,209.476
South,2009,November,209.738
South,2009,October,209.292
South,2009,September,208.912
South,2009,August,209
South,2009,July,208.819
South,2009,June,209.343
South,2009,May,207.265
South,2009,April,206.657
South,2009,March,206.001
South,2009,February,205.343
South,2009,January,204.288
South,2008,December,203.501
South,2008,November,205.559
South,2008,October,210.108
South,2008,September,212.65
South,2008,August,212.387
South,2008,July,213.304
South,2008,June,212.324
South,2008,May,210.006
South,2008,April,208.085
South,2008,March,206.676
South,2008,February,205.06
South,2008,January,204.51
